resource,short_name,display_name,year,object_class,no_lift,engines,empty_weight_lb,internal_fuel_lb,max_takeoff_weight_lb,military_thrust_lbf,afterburner_thrust_lbf,top_speed_kt,sea_level_min_kt,sea_level_max_kt,ceiling_ft,g_limit_min,g_limit_max,hit_points,hardpoints,internal_gun,default_stores,hud_resource,shape,archive
KA50.PT,Ka-50,Ka-50 Hokum-A,2000,0x4000,yes,2,18298,2000,23810,28310,0,130,36,130,7000,-1,4,103,6,T30_1.JT,VIS340.SEE:1;KA50L.SEE:1;KA50.ECM:1;T30_1.JT:1;AT12.JT:1;AA8.JT:1,su33.HUD,hokum.SH,FA_2.LIB
KC135.PT,KC-135,KC-135 Stratotanker,1981,0x4000,no,4,169552,157839,332500,84000,0,610,124,533,45750,-2,3,314,1,,VIS300.SEE:1,ac130.HUD,kc135.SH,FA_2.LIB
KFIR.PT,Kfir,IAI Kfir,1974,0x8000,no,1,16060,6856,36376,11890,18750,1317,71,752,58000,-4,8,120,9,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;PAVESPK.SEE:1;DEFA.JT:1;F150.GAS:1;AIM120.JT:1;AIM9M.JT:1;ALQ167.ECM:1,f16c.HUD,kfir.SH,FA_2.LIB
LYNX.PT,Lynx,Westland Lynx,1960,0x4000,yes,2,18298,2000,23810,26280,0,130,36,130,7000,-1,4,103,6,T30_1.JT,VIS340.SEE:1;KA50L.SEE:1;KA50.ECM:1;T30_1.JT:1;LAU61.JT:1;AA8.JT:1,ac130.HUD,lyn.SH,FA_2.LIB
M2000.PT,M2000,Mirage 2000,1984,0x8000,no,2,17100,6346,37480,17687,32000,1262,118,693,59000,-4,8,100,9,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;DEFA.JT:1;F150.GAS:1;AS15.JT:1;R530.JT:1;R550.JT:2,rafale.HUD,m20.SH,FA_2.LIB
M2000E.PT,M2000,Mirage (Desert) 2000,1984,0x8000,no,2,17100,6346,37480,17687,32000,1262,118,693,59000,-4,8,100,9,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;DEFA.JT:1;F150.GAS:1;AS15.JT:1;R530.JT:1;R550.JT:2,rafale.HUD,m20e.SH,FA_2.LIB
M25.PT,MiG-25,MiG-25 Foxbat,1964,0x8000,no,2,48221,37320,90830,38800,49382,1623,124,652,68000,-2,5,130,6,,VIS240.SEE:1;MIG27R.SEE:1;MIG21.ECM:1;AA6.JT:1;AA2.JT:1;F250.GAS:1,su33_c.HUD,mig25.SH,FA_2.LIB
M5.PT,M5,Mirage 5,1967,0x8000,no,1,15542,7040,30203,9436,13668,1274,142,628,60000,-4,8,105,9,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;DEFA.JT:1;AS15.JT:2;F150.GAS:1;R550.JT:1;ALQ72.ECM:1,seaharcc.HUD,mr5.SH,FA_2.LIB
MF1.PT,MF1,Mirage F1,1970,0x8000,no,1,15542,6120,30203,15000,30000,1345,101,800,66125,-3,7,95,8,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;DEFA.JT:1;ALQ167.ECM:1;F250.GAS:1;R550.JT:2,rafale.HUD,mf1.SH,FA_2.LIB
MI17.PT,Mi-17,Mi-17 Hip,1960,0x4000,yes,2,18078,3307,28660,35691,0,178,53,178,7000,-1,3,103,3,,VIS300.SEE:1;KA50.ECM:1;B8.JT:1,ac130.HUD,hip.SH,FA_2.LIB
MI24.PT,Mi-24,Mi-24 Hind-D,2000,0x4000,yes,2,18078,3307,28660,35691,0,178,53,178,7000,-1,3,103,3,T12_4.JT,VIS300.SEE:1;T12_4.JT:1;AT2.JT:1,su33.HUD,hind.SH,FA_2.LIB
MIG17F.PT,MiG-17,MiG-17F Fresco,1972,0x8000,no,1,6000,4534,13380,5732,7451,622,118,622,55000,-4,8,80,4,GSH30.JT;GSH23.JT,VIS240.SEE:1;GSH30.JT:1;GSH23.JT:1;F150.GAS:1,mig17.HUD,m17.SH,FA_2.LIB
MIG21.PT,MiG-21,MiG-21 Fishbed,1967,0x8000,no,1,12824,4534,20725,8598,13120,1203,118,711,60000,-4,8,86,7,GSH23.JT,VIS240.SEE:1;MIG21R.SEE:1;MIG21.ECM:1;GSH23.JT:1;AA2.JT:2,mig21.HUD,mig21.SH,FA_2.LIB
MIG21F.PT,MiG-21F,MiG-21F Fishbed-C,1972,0x8000,no,1,11795,4850,20725,8972,14307,1203,118,711,60000,-4,8,90,6,GSH23.JT,VIS240.SEE:1;MIG21R.SEE:1;MIG21.ECM:1;GSH23.JT:1;AA2.JT:2,mig21.HUD,m21f.SH,FA_2.LIB
MIG23.PT,MiG-23,MiG-23 Flogger-B,1972,0x8000,no,1,23589,11704,41556,17310,24728,1351,107,729,60000,-4,8,113,9,GSH6_30.JT,VIS240.SEE:1;MIG27R.SEE:1;MIG21.ECM:1;GSH6_30.JT:1;B8.JT:1;AS7.JT:2,su33cc.HUD,mig23.SH,FA_2.LIB
MIG27.PT,MiG-27,MiG-27 Flogger-J,1981,0x8000,no,1,22050,10000,44313,17247,25353,1031,107,729,46000,-4,8,113,6,GSH6_30.JT,VIS240.SEE:1;MIG27R.SEE:1;MIG27.ECM:1;GSH6_30.JT:1;AA2.JT:1;AS7.JT:1,su33cc.HUD,mig27.SH,FA_2.LIB
MIG29.PT,MiG-29,MiG-29 Fulcrum-C,1985,0x8000,no,2,18025,13000,36375,22220,36600,1256,118,705,65000,-4,9,102,8,GSH301.JT,VIS340.SEE:1;MIG29I.SEE:1;MIG29R.SEE:1;MIG29.ECM:1;GSH301.JT:1;AA8.JT:3,su33cc.HUD,mig29.SH,FA_2.LIB
MIG29M.PT,MiG-29M,MiG-29M,1988,0x8000,no,2,18025,13000,36375,22220,36600,1256,118,705,65000,-4,9,102,9,GSH301.JT,VIS340.SEE:1;MIG29I.SEE:1;MIG29R.SEE:1;MIG29.ECM:1;GSH301.JT:1;AA10.JT:2;AA11.JT:2,su33cc.HUD,mig2m.SH,FA_2.LIB
MIG29V.PT,MiG-29,MiG-29 (Snow) Fulcrum-C,1985,0x8000,no,2,18025,13000,36375,22220,36600,1256,118,705,65000,-4,9,102,8,GSH301.JT,VIS340.SEE:1;MIG29I.SEE:1;MIG29R.SEE:1;MIG29.ECM:1;GSH301.JT:1;AA8.JT:3,su33cc.HUD,mig2v.SH,FA_2.LIB
MIG31.PT,MiG-31,MiG-31 Foxhound,1983,0x8000,no,2,48115,30865,91725,33510,48500,1625,142,812,68000,-2,4,167,6,GSH6_30.JT,VIS240.SEE:1;MIG31R.SEE:1;MIG31.ECM:1;GSH6_30.JT:1;AA9.JT:1;AA8.JT:1,y141.HUD,mig31.SH,FA_2.LIB
MR3.PT,MIII,Mirage III,1964,0x8000,no,1,15542,6120,30203,9436,13668,1274,142,628,56000,-4,8,95,8,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;DEFA.JT:1;F150.GAS:1;AS15.JT:1;R530.JT:1;R550.JT:1,seaharcc.HUD,mr3.SH,FA_2.LIB
MR3E.PT,MIII,Mirage (Desert) III,1964,0x8000,no,1,15542,6120,30203,9436,13668,1274,142,628,56000,-4,8,95,8,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;DEFA.JT:1;F150.GAS:1;AS15.JT:1;R530.JT:1;R550.JT:1,seaharcc.HUD,mr3e.SH,FA_2.LIB
MTF1.PT,F-1,Mitsubishi F-1,1960,0x8000,no,2,14149,8080,30203,10230,14610,922,142,717,50000,-4,8,80,7,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AGM84A.JT:1;AIM9M.JT:1,f29.HUD,mif1.SH,FA_2.LIB
P3.PT,P-3,P-3C Orion (AIR),1960,0x4000,no,4,169552,61000,332500,84000,0,462,124,462,51000,-2,3,314,3,,VIS300.SEE:1;E3R.SEE:1;B52.ECM:1,ac130.HUD,p3c.SH,FA_2.LIB
Q5.PT,Q-5,Q-5 Fantan,1970,0x8000,no,1,12824,4534,20955,8598,13120,658,118,658,52000,-4,8,86,7,GSH23.JT,VIS240.SEE:1;MIG21R.SEE:1;MIG21.ECM:1;GSH23.JT:1;PL7.JT:1;AS7.JT:1,f14cc.HUD,q5.SH,FA_2.LIB
RAFALE.PT,RAFALE,Rafale C,2005,0x8000,no,2,17100,9900,40100,24000,32000,1154,118,758,65000,-4,9,100,9,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;DEFA.JT:1;AAS38.SEE:1;AGM65G.JT:1;MICA.JT:1;R530.JT:1;R550.JT:1,,raf.SH,FA_2.LIB
RAFALEE.PT,RAFALE,Rafale (Desert) C,2005,0x8000,no,2,17100,9900,40100,24000,32000,1154,118,758,65000,-4,9,100,9,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;DEFA.JT:1;AAS38.SEE:1;AGM65G.JT:1;MICA.JT:1;R530.JT:1;R550.JT:1,,rafe.SH,FA_2.LIB
RAFALEF.PT,RAFALE,Rafale M,2005,0x8000,no,2,17100,9900,40100,24000,32000,1154,118,758,65000,-4,9,100,9,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;DEFA.JT:1;AAS38.SEE:1;AS15.JT:1;MICA.JT:1;R530.JT:1;R550.JT:1,,raff.SH,FA_2.LIB
SEAHAR.PT,Sea Harrier,Sea Harrier FRS.2,1994,0x8000,no,1,13000,5060,26200,21500,0,717,101,640,51000,-4,7,87,7,ADEN.JT,VIS340.SEE:1;SEAHARR.SEE:1;SEAHAR.ECM:1;ADEN.JT:1;AIM9M.JT:1;AIM120.JT:1,seahar_c.HUD,seah.SH,FA_2.LIB
SFR.PT,SFR,Super Frelon,2000,0x4000,yes,2,18078,3307,28660,135795,0,178,53,178,7000,-1,3,103,3,T12_4.JT,VIS300.SEE:1;T12_4.JT:1;LAU61.JT:1,ac130.HUD,sfr.SH,FA_2.LIB
SFRV.PT,SFR,Super Frelon (Snow),2000,0x4000,yes,2,18078,3307,28660,135795,0,178,53,178,7000,-1,3,103,3,T12_4.JT,VIS300.SEE:1;T12_4.JT:1;LAU61.JT:1,ac130.HUD,sfrv.SH,FA_2.LIB
SH3A.PT,SH-3A,SH-3A Sea King,1960,0x4000,yes,2,13648,2376,21884,22451,0,130,47,130,8000,-1,3,88,1,,VIS300.SEE:1,ac130.HUD,sh3.SH,FA_2.LIB
SH60.PT,SH-60,SH-60 Seahawk,1956,0x4000,yes,2,13648,2376,21884,22451,0,130,47,130,8000,-1,3,89,1,,VIS300.SEE:1,ac130.HUD,sh60.SH,FA_2.LIB
SPE.PT,SPE,Super Etendard,1960,0x8000,no,1,14330,3270,26455,11033,0,747,142,640,45000,-4,8,91,7,DEFA.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;DEFA.JT:1;F350.GAS:1;MK82.JT:1;R550.JT:1,seaharcc.HUD,spe.SH,FA_2.LIB
STRK.PT,BAC 167,BAe Strikemaster,1967,0x4000,no,1,6195,2120,13500,3410,0,520,130,391,40000,-3,7,75,8,M61.JT,VIS340.SEE:1;F18R.SEE:1;F104.ECM:1;M61.JT:1;MK82.JT:1;F150.GAS:1;LAU61.JT:1,a7.HUD,bast.SH,FA_2.LIB
SU24.PT,Su-24,Su-24 Fencer-D,1983,0x4000,no,2,41885,22664,90390,35270,50700,802,118,717,58000,-3,6,156,9,GSH6_23.JT,VIS240.SEE:1;SU24R.SEE:1;SU24.ECM:1;SU24L.SEE:1;GSH6_23.JT:1;AS14.JT:4,ac130.HUD,su24.SH,FA_2.LIB
SU25.PT,Su-25,Su-25 Frogfoot-A,1982,0x8000,no,2,41885,22664,90390,35270,0,604,77,527,23812,-3,6,210,9,GSH301.JT,VIS240.SEE:1;SU24R.SEE:1;SU24.ECM:1;SU24L.SEE:1;GSH301.JT:1;B13.JT:1;AS7.JT:1;AA8.JT:1,su33cc.HUD,su25.SH,FA_2.LIB
SU27.PT,Su-27,Su-27 Flanker-B,1984,0x8000,no,2,36000,19000,60000,40755,59510,1465,107,741,61000,-4,9,145,9,GSH301.JT,VIS340.SEE:1;SU27R.SEE:1;SU27I.SEE:1;SU27.ECM:1;GSH301.JT:1;AA12.JT:2;AA11.JT:2,av8.HUD,su27.SH,FA_2.LIB
SU27V.PT,Su-27,Su-27 (Snow) Flanker-B,1984,0x8000,no,2,36000,19000,60000,40755,59510,1465,107,741,61000,-4,9,145,9,GSH301.JT,VIS340.SEE:1;SU27R.SEE:1;SU27I.SEE:1;SU27.ECM:1;GSH301.JT:1;AA12.JT:2;AA11.JT:2,av8.HUD,su27v.SH,FA_2.LIB
SU33.PT,Su-33,Su-33 Flanker-D,1990,0x8000,no,2,36000,22000,60000,40755,59510,1465,107,741,59000,-4,9,145,9,GSH301.JT,VIS340.SEE:1;SU27R.SEE:1;SU27I.SEE:1;SU27.ECM:1;GSH301.JT:1;AA12.JT:1;AA11.JT:1,su33cc.HUD,su27c.SH,FA_2.LIB
SU34.PT,Su-34,Su-34 Platypus,1998,0x4000,no,2,36000,20000,97000,40755,59510,1465,107,741,55000,-4,9,145,9,GSH301.JT,VIS300.SEE:1;SU27R.SEE:1;SU27I.SEE:1;SU27.ECM:1;SU37L.SEE:1;GSH301.JT:1;AS14.JT:1;AT12.JT:1;AA11.JT:1,su33cc.HUD,su34.SH,FA_2.LIB
SU35.PT,Su-35,Su-35,1998,0x8000,no,2,40564,22000,74956,40755,58642,1347,107,770,63000,-4,9,145,9,GSH301.JT,VIS340.SEE:1;SU27R.SEE:1;SU27I.SEE:1;SU27.ECM:1;GSH301.JT:1;AAML.JT:2;AA12.JT:1;AA11B.JT:1,,su35.SH,FA_2.LIB
SU35B.PT,Su-35,Su-35 (Forest),1998,0x8000,no,2,40564,22000,74956,40755,58642,1347,107,770,63000,-4,9,145,9,GSH301.JT,VIS340.SEE:1;SU27R.SEE:1;SU27I.SEE:1;SU27.ECM:1;GSH301.JT:1;FAB1000.JT:1;FAB500.JT:1;AA12.JT:1;AA11B.JT:1,su35.HUD,su35b.SH,FA_2.LIB
SU7.PT,Su-7,Su- 7 Fitter,1960,0x8000,no,1,19004,6208,29762,15432,22282,1056,107,841,50000,-3,7,113,6,GSH6_30.JT,VIS240.SEE:1;MIG27R.SEE:1;MIG21.ECM:1;GSH6_30.JT:1;B13.JT:1;FAB500.JT:1,mig21.HUD,su7.SH,FA_2.LIB
TIGRE.PT,Tiger,HAC Tiger,2000,0x4000,yes,2,18298,2000,23810,26280,0,130,36,130,7000,-1,4,103,6,T30_1.JT,VIS340.SEE:1;KA50L.SEE:1;KA50.ECM:1;T30_1.JT:1;LAU61.JT:1;AA8.JT:1,ac130.HUD,tig.SH,FA_2.LIB
TOR.PT,Tornado,Tornado IDS,1990,0x4000,no,2,41885,11221,90390,35270,50700,1369,118,806,60000,-3,6,156,9,BK27.JT,VIS240.SEE:1;F18R.SEE:1;MIG31.ECM:1;PAVESPK.SEE:1;BK27.JT:1;F250.GAS:1;PAVEWAY.JT:1;MK82P3.JT:1;AIM9M.JT:1,e2000.HUD,tor.SH,FA_2.LIB
TU160.PT,Tu-160,Tu-160 Blackjack-A,2010,0x4000,no,4,202260,368000,606260,158092,232398,1270,145,1203,50000,-2,5,343,6,,VIS300.SEE:1;TU160R.SEE:1;TU160.ECM:1;SU37L.SEE:1;AS16.JT:2,b2.HUD,tu160.SH,FA_2.LIB
TU26.PT,Tu-26,Tu- 26 Backfire-C,1987,0x4000,no,2,110230,110230,273370,59986,88180,1145,145,598,60000,-2,4,253,9,T23_1.JT,VIS300.SEE:1;TU26R.SEE:1;TU26.ECM:1;T23_1.JT:1;SU37L.SEE:1;AS16.JT:3,bmbroh.HUD,tu26.SH,FA_2.LIB
TU95.PT,Tu-95,Tu- 95 Bear-H,1984,0x4000,no,4,264550,100000,407850,355080,0,462,124,355,40750,-1,3,393,9,T23_1.JT,VIS300.SEE:1;TU95R.SEE:1;TU95.ECM:1;T23_1.JT:3;SU37L.SEE:1;AS16.JT:1,bmbroh.HUD,tu95.SH,FA_2.LIB
UH60.PT,UH-60,UH-60 Black Hawk,1960,0x4000,yes,2,18298,2000,23810,26280,0,130,36,130,7000,-1,4,103,4,T30_1.JT,VIS340.SEE:1;KA50L.SEE:1;KA50.ECM:1;T30_1.JT:1,ac130.HUD,uh60.SH,FA_2.LIB
V22.PT,V-22,V-22 Osprey,2000,0x4000,yes,2,18298,2000,23810,26280,0,130,36,130,7000,-1,4,103,4,T30_1.JT,VIS340.SEE:1;KA50L.SEE:1;KA50.ECM:1;T30_1.JT:1,ac130.HUD,v22.SH,FA_2.LIB
VIG.PT,Viggen,Saab Viggen,1968,0x8000,no,1,26014,12048,45194,16200,28110,1149,130,794,60000,-4,7,140,8,BK27.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;BK27.JT:1;F150.GAS:1;AGM65G.JT:1;LAU10.JT:1;AIM9M.JT:1,gripen.HUD,vig.SH,FA_2.LIB
YAK141.PT,Yak-141,Yak-141 Freestyle-A,1987,0x8000,no,1,25685,9700,42990,19840,34170,972,65,675,50000,-4,7,122,6,GSH30.JT,VIS300.SEE:1;YAK141R.SEE:1;YAK141.ECM:1;GSH30.JT:1;AA10.JT:1;AA11.JT:1,,y141.SH,FA_2.LIB
~BGUN.PT,BASE GUN,Base Defense Gun,1965,0x0800,no,1,4000,3432,155000,1400,0,104,92,104,1000,-1,1,1000,6,C_25.JT;C_40.JT,VIS300.SEE:1;AC130R.SEE:1;AC130I.SEE:1;SA19.JT:1;C_25.JT:1;C_40.JT:1,basegun.HUD,zsu30.SH,FA_2.LIB
~MOTH.PT,Atomic Moth,Atomic Moth,1956,0x8000,no,1,13968,7759,31000,23800,0,581,101,581,50125,-4,7,67,2,,VIS300.SEE:1;~MOTHB.JT:1,,moth.SH,FA_2.LIB
~QUE.PT,Quetz,Quetzalcoatlus,1956,0x8000,no,1,19200,9743,50000,25000,0,717,101,640,51000,-4,7,94,3,~VOMIT.JT,VIS300.SEE:1;~VOMIT.JT:1;~BLDR.JT:1,,que.SH,FA_2.LIB
